Date,Day of Week,Location,Weather,Average People per 1 mins
19:00.5,Wed,NaN,NaN,0
19:03.0,Wed,NaN,NaN,0
19:03.1,Wed,NaN,NaN,0
19:03.2,Wed,NaN,NaN,3
19:03.2,Wed,NaN,NaN,3
19:03.2,Wed,NaN,NaN,3
19:03.4,Wed,NaN,NaN,3
19:03.5,Wed,NaN,NaN,3
19:05.7,Wed,NaN,NaN,3
19:05.8,Wed,NaN,NaN,5
19:05.8,Wed,NaN,NaN,5
19:05.8,Wed,NaN,NaN,5
19:05.8,Wed,NaN,NaN,5
19:06.0,Wed,NaN,NaN,5
19:06.0,Wed,NaN,NaN,5
19:08.1,Wed,NaN,NaN,6
19:08.1,Wed,NaN,NaN,6
19:08.1,Wed,NaN,NaN,6
19:08.1,Wed,NaN,NaN,6
19:08.2,Wed,NaN,NaN,6
19:08.2,Wed,NaN,NaN,6
19:10.4,Wed,NaN,NaN,7
19:10.4,Wed,NaN,NaN,7
19:10.4,Wed,NaN,NaN,7
19:10.5,Wed,NaN,NaN,7
19:10.5,Wed,NaN,NaN,7
19:10.5,Wed,NaN,NaN,7
19:13.1,Wed,NaN,NaN,7
19:13.1,Wed,NaN,NaN,7
19:13.1,Wed,NaN,NaN,7
19:13.2,Wed,NaN,NaN,7
19:13.2,Wed,NaN,NaN,7
19:13.2,Wed,NaN,NaN,7
19:15.7,Wed,NaN,NaN,8
19:15.8,Wed,NaN,NaN,8
19:15.8,Wed,NaN,NaN,8
19:15.8,Wed,NaN,NaN,8
19:15.8,Wed,NaN,NaN,8
19:15.8,Wed,NaN,NaN,8
19:15.9,Wed,NaN,NaN,8
19:18.4,Wed,NaN,NaN,8
19:18.4,Wed,NaN,NaN,8
19:18.5,Wed,NaN,NaN,8
19:18.5,Wed,NaN,NaN,8
19:18.5,Wed,NaN,NaN,8
19:18.6,Wed,NaN,NaN,8
19:18.6,Wed,NaN,NaN,8
19:21.2,Wed,NaN,NaN,8
19:21.2,Wed,NaN,NaN,8
19:21.2,Wed,NaN,NaN,8
19:21.3,Wed,NaN,NaN,8
19:21.3,Wed,NaN,NaN,8
19:21.3,Wed,NaN,NaN,8
19:21.4,Wed,NaN,NaN,8
19:21.4,Wed,NaN,NaN,8
19:23.9,Wed,NaN,NaN,8
19:23.9,Wed,NaN,NaN,8
19:24.1,Wed,NaN,NaN,8
19:24.1,Wed,NaN,NaN,8
19:24.1,Wed,NaN,NaN,8
19:24.2,Wed,NaN,NaN,8
19:24.2,Wed,NaN,NaN,8
19:24.2,Wed,NaN,NaN,8
19:24.2,Wed,NaN,NaN,8
19:26.7,Wed,NaN,NaN,8
19:26.7,Wed,NaN,NaN,8
19:26.7,Wed,NaN,NaN,8
19:26.8,Wed,NaN,NaN,8
19:26.8,Wed,NaN,NaN,8
19:26.8,Wed,NaN,NaN,9
19:26.8,Wed,NaN,NaN,9
19:26.8,Wed,NaN,NaN,9
19:29.4,Wed,NaN,NaN,9
19:29.4,Wed,NaN,NaN,9
19:29.5,Wed,NaN,NaN,9
19:29.5,Wed,NaN,NaN,9
19:29.6,Wed,NaN,NaN,9
19:32.2,Wed,NaN,NaN,9
19:32.2,Wed,NaN,NaN,9
19:32.2,Wed,NaN,NaN,9
19:32.3,Wed,NaN,NaN,9
19:32.3,Wed,NaN,NaN,9
19:34.9,Wed,NaN,NaN,9
19:34.9,Wed,NaN,NaN,9
19:35.0,Wed,NaN,NaN,9
19:35.0,Wed,NaN,NaN,9
19:35.0,Wed,NaN,NaN,9
19:35.0,Wed,NaN,NaN,9
19:37.5,Wed,NaN,NaN,9
19:37.6,Wed,NaN,NaN,9
19:37.6,Wed,NaN,NaN,9
19:37.6,Wed,NaN,NaN,9
19:37.7,Wed,NaN,NaN,9
19:37.7,Wed,NaN,NaN,9
19:40.2,Wed,NaN,NaN,9
19:40.2,Wed,NaN,NaN,9
19:40.2,Wed,NaN,NaN,9
19:40.3,Wed,NaN,NaN,9
19:40.3,Wed,NaN,NaN,9
19:40.3,Wed,NaN,NaN,9
19:42.8,Wed,NaN,NaN,9
19:42.8,Wed,NaN,NaN,9
19:42.9,Wed,NaN,NaN,9
19:42.9,Wed,NaN,NaN,9
19:42.9,Wed,NaN,NaN,9
19:42.9,Wed,NaN,NaN,9
19:45.5,Wed,NaN,NaN,9
19:45.5,Wed,NaN,NaN,9
19:45.6,Wed,NaN,NaN,9
19:45.6,Wed,NaN,NaN,9
19:45.6,Wed,NaN,NaN,9
19:45.6,Wed,NaN,NaN,9
19:48.1,Wed,NaN,NaN,9
19:48.1,Wed,NaN,NaN,9
19:48.1,Wed,NaN,NaN,9
19:48.2,Wed,NaN,NaN,9
19:48.2,Wed,NaN,NaN,9
19:48.2,Wed,NaN,NaN,9
19:50.7,Wed,NaN,NaN,9
19:50.7,Wed,NaN,NaN,9
19:50.8,Wed,NaN,NaN,9
19:50.8,Wed,NaN,NaN,9
19:50.8,Wed,NaN,NaN,9
19:50.9,Wed,NaN,NaN,9
19:50.9,Wed,NaN,NaN,9
19:50.9,Wed,NaN,NaN,9
19:53.4,Wed,NaN,NaN,9
19:53.5,Wed,NaN,NaN,9
19:53.5,Wed,NaN,NaN,9
19:53.5,Wed,NaN,NaN,9
19:53.5,Wed,NaN,NaN,9
19:53.6,Wed,NaN,NaN,9
19:53.6,Wed,NaN,NaN,9
19:56.1,Wed,NaN,NaN,9
19:56.1,Wed,NaN,NaN,9
19:56.2,Wed,NaN,NaN,9
19:56.2,Wed,NaN,NaN,9
19:56.2,Wed,NaN,NaN,9
19:56.2,Wed,NaN,NaN,9
19:56.2,Wed,NaN,NaN,9
19:56.3,Wed,NaN,NaN,9
19:58.9,Wed,NaN,NaN,10
19:58.9,Wed,NaN,NaN,10
19:58.9,Wed,NaN,NaN,10
19:59.0,Wed,NaN,NaN,10
19:59.0,Wed,NaN,NaN,10
19:59.0,Wed,NaN,NaN,10
19:59.0,Wed,NaN,NaN,10
19:59.1,Wed,NaN,NaN,10
20:01.6,Wed,NaN,NaN,10
20:01.6,Wed,NaN,NaN,10
20:01.6,Wed,NaN,NaN,10
20:01.6,Wed,NaN,NaN,10
20:01.7,Wed,NaN,NaN,10
